combined_text,Label
"2 21 (6 for the dough, 15 for the toppings) Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $2 - $3

  Harry Potter & The Philosopher's Stone Coke Friends nan",Pizza
"3 6 Week day dinner,At a party 8 dollar Transformer Soup Parents nan",Pizza
"5 10 Week day dinner,Weekend dinner,At a party,Late night snack 15 Ninja turtles  Coke Siblings,Friends nan",Pizza
"4 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $3.00  High School Musical 3 Root beer Parents,Siblings,Friends,Teachers A little (mild)",Pizza
"3 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $8  Despicable Me Coke Friends,Teachers nan",Pizza
"3 10 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 10 Teenage Mutant Ninja Turtles Soda Parents,Friends A little (mild)",Pizza
"2 Bread flour (or pizza dough), Olive oil, Sugar, Tomato, Chess, Pepperoni Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack If it's in a fast food pizza store, a single slice costs around $6, and a full pizza costs around $15. For a full wood-fired pizza in restaurant, it's around $25. Toy Story Soft drinks. For example, 7up Friends nan",Pizza
"3 6 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party 30 CAD The Godfather Coke Friends,Teachers A little (mild)",Pizza
"4 10 Weekend dinner,At a party 6 Spiderman Diet Coke Friends nan",Pizza
"3 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 10 Pizza cola Friends,Teachers nan",Pizza
"4 Three Week day lunch,Week day dinner,Weekend dinner,At a party $5  Teenage Mutant Ninja Turtles Sparkling Water Parents,Friends A little (mild)",Pizza
"4 5: Flour, tomatoes, cheese, meat and basil leaves Weekend lunch,Weekend dinner,At a party CAD20-25 Fast & Furious Coke Siblings,Friends nan",Pizza
"3 Mushrooms, meat, cheese, potato, pepper Weekend dinner,At a party,Late night snack 20 Teenage Mutant Ninja Turtles Coke Friends A little (mild)",Pizza
1 3 At a party 8 dollars The Garfield Movie Cola Teachers A little (mild),Pizza
"3 10-12 (Flour, water, yeast, salt, olive oil for the dough, tomato sauce, cheese, pepperoni, veggies and herbs) Week day lunch,Weekend lunch,At a party Around $3 for one slice  ""Spider-Man: No Way Home"" Coca-Cola and iced tea Friends nan",Pizza
"4 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 15 ratatouille coca cola Teachers A moderate amount (medium)",Pizza
"4 4 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party 10 Five Nights At Freddies Coca Cola Friends,Teachers nan",Pizza
"2 6 ingredients (tomato sauce, dough, cheese, sausage, mushroom, pepper). Besides these ordinary ones, other ingredients like olives, pineapples, and onions, etc. are also interesting, but overall, the above 6 are the most important (7 as sometimes pineapple is preferred). Week day lunch,Week day dinner,At a party About 10 -13 CAD. Usually, it would be a good fit if the price is from 10.99 - 11.99 canadian dollars for a medium size one (that usually I can have for 2-3 meals). Not exactly movies, but I would prefer to watch some TV series when I am having pizzas. If movies specifically, I may think of cartoon movies or more ""hero""/marvel related ones, like Teenage Mutant Ninja Turtles, movies in marvel series, etc.. All sorts of carbonated drinks(e.g. coca-cola, pepsi, mirinda series drinks, fanta series drinks etc.). Non carbonated drinks are not preferred when I am having pizzas. Parents,Friends,Teachers A little (mild)",Pizza
"2 8 Weekend dinner,At a party $10  Back to the future Ice tea Parents,Siblings,Friends nan",Pizza
"2 minimum 4 (cheese, tomato sauce, flour, water) Weekend dinner,At a party,Late night snack $4  Godfather Coke Friends,Teachers,Strangers A little (mild)",Pizza
"3 8 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 5 Mystic Pizza Coke Friends A little (mild)",Pizza
"3 ~5-6 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $6  Spider man 2 Coke Parents,Siblings,Friends,Teachers A little (mild)",Pizza
"4 3 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 4 futurama coke Friends A moderate amount (medium)",Pizza
"3 8 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack About $13. Iron Man I Orange Fanta Siblings,Teachers nan",Pizza
"4 8 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party $13  Life of Pi Hot chocolate Parents,Friends,Teachers nan",Pizza
"3 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party $3  Avengers Soda Siblings,Friends,Teachers A little (mild)",Pizza
"3 3 to 7 Week day lunch,Weekend dinner,At a party,Late night snack 6 to 7 dollars Despicable Me Mountain Dew Friends A little (mild)",Pizza
"3 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $20  Spider-man Beer Parents,Friends nan",Pizza
"3 10 Weekend lunch,Weekend dinner,At a party,Late night snack $15  Home Alone coke Parents,Siblings,Friends,Teachers A moderate amount (medium)",Pizza
"3 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 15 dollars Any American movie Soda Parents,Siblings,Friends nan",Pizza
"2 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 15 king kong coke Friends,Teachers,Strangers nan",Pizza
"3 7 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 10 Home Alone coke Siblings,Friends A little (mild)",Pizza
"2 5 Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $5  Teenage Mutant Ninja Turtles  Soda Parents,Siblings,Friends nan",Pizza
"2 10 At a party $15 for a whole pizza

$3 for a slice cloudy with a chance of meatballs diet coke Teachers A little (mild)",Pizza
"3 6 Week day dinner,Weekend dinner,At a party,Late night snack 12 Marvel Movies Diet Pepsi Siblings,Friends,Teachers A lot (hot)",Pizza
"3 5 Week day lunch,Week day dinner,At a party 15 nan coke Friends,Strangers nan",Pizza
"4 5 Week day dinner,At a party,Late night snack 4.5 cad The Garfield Movie Coca-cola Parents,Siblings,Friends,Teachers A little (mild)",Pizza
"3 4 Week day lunch,At a party,Late night snack 3 per slide Garfield Coke Friends nan",Pizza
"2 3 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $7  Grown ups Diet coke Parents,Siblings,Friends A moderate amount (medium)",Pizza
"4 Around 6-9 excluding condiments. Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack Around $7~15 before tax. N/A (I don't watch a lot of movies) Carbonated soft drink Teachers,Strangers A little (mild)",Pizza
"3 8 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party $15  deadpool coke Parents,Siblings,Friends A little (mild)",Pizza
"2 There are 3 major ingredients the sauce the dough.crust and the cheese. then the addons ingredients can enhance it.

So 4 in total Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack Around 30-40 $ Cloudy with a chance of meatball Coca cola zero Parents,Siblings,Friends nan",Pizza
"4 8 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 15 whiplash coke Parents,Siblings,Friends nan",Pizza
"2 10 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $6  Home alone Water Siblings nan",Pizza
"5 Maybe about 15 ingredients: starch, egg, sugar, milk, yeast, cheese, salami, corn kernels, peas, mushroom, olive, green pepper, shrimp, tomato, and maybe pineapple (I know, some Italians will want to kill me). Week day dinner,Weekend dinner,At a party CA$15 Inside Out Coke Parents,Siblings,Friends,Teachers A little (mild)",Pizza
"2 Around 4 to 6 key ingredients (counting only categories, not individual types of each category like different spices or toppings).  Week day lunch,Week day dinner,Weekend lunch,At a party Maybe 20$, for 14'' or 16''. Teenage Mutant Ninja Turtles. Orange juice, my favourite. Friends nan",Pizza
"3 6 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $5  Avengers Coke Siblings,Friends,Teachers nan",Pizza
"3 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party 7 nan Cola Friends A little (mild)",Pizza
"2 9 Weekend dinner,At a party,Late night snack $20  Cloudy with a Chance of Meatballs Coke Friends nan",Pizza
"3 Around 10 or so, depending on the flavour Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack At most $6 Ratatouille Sparkling water Friends nan",Pizza
"3 6 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack For one slice? Like 5 dollars.

For a whole pizza? 15 dollars Superbad Coca Cola Parents,Siblings,Friends A little (mild)",Pizza
"3 4 At a party 3 stranger things pepsi Teachers,Strangers nan",Pizza
"4 6 Weekend dinner,At a party 4.99 Ratatouille Sprite Parents,Friends,Teachers A lot (hot)",Pizza
"3 5 Week day lunch,Week day dinner,At a party,Late night snack 15 dollars Pizza (2012) Coke Friends,Strangers nan",Pizza
"3 I expect this food item to contain 10 ingredients.

  Weekend lunch,At a party,Late night snack I would expect to pay 7 dollars for 1 serving.  Home Alone Coke Siblings,Friends,Strangers A little (mild)",Pizza
"3 3 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party $12  Teenage Mutant Ninja Turtles Coke Friends nan",Pizza
"4 Varies depending on personal choice. Basic/Main ingredients can be around 3. Additional ingredients can be added, usually around 2-5.  Week day dinner,Weekend dinner,At a party,Late night snack Depends on the portion served. A full size can be around $15-30 while a piece can be $3-6. Ninja Turtles Coke Friends A little (mild)",Pizza
"3 3 Week day lunch,Late night snack $5  nan Juice Friends,Strangers nan",Pizza
"4 4 Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack $5.00  Air Bud Soda Friends,Strangers A little (mild)",Pizza
"4 7 Week day lunch,At a party,Late night snack 6 Deadpool coke Friends,Strangers A little (mild)",Pizza
"4 8 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party 5 dollars A quiet place: day one (2024) Soda Friends I will have some of this food item with my hot sauce",Pizza
"3 8 Week day lunch,Weekend lunch,At a party,Late night snack $6  Finding Nemo Coca Cola Friends A little (mild)",Pizza
"4 10 Week day lunch,Weekend lunch,At a party,Late night snack 15$ Avengers Endgame Coca Cola Teachers,Strangers A little (mild)",Pizza
"1 yeast water flour egg salt (dough), cheese peporonni sausage other vegetables 

total: 10 Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack $5  Ratatouille Soda Friends,Teachers A little (mild)",Pizza
"3 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $6  My Cousin Vinny San Pellegrino Sparkling Water Parents,Siblings,Friends,Teachers nan",Pizza
"2 6-8 a simple pizza, can have many more  Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $12-$18 Garfield A Ginger Ale Siblings,Friends,Teachers A moderate amount (medium)",Pizza
"4 8 Weekend dinner,At a party,Late night snack 5 Garfield Diet Coke Parents nan",Pizza
"3 10 Weekend dinner,At a party,Late night snack 20 - 25 CAD Eat, Pray, Love Coca-Cola Friends A moderate amount (medium)",Pizza
"4 7 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 5 Ratatouille Coke Parents,Siblings,Friends nan",Pizza
"3 6 Week day lunch,Weekend dinner,At a party,Late night snack $7  Ratatouille Coke with lemon Parents,Siblings,Friends,Teachers nan",Pizza
"2 5 Week day dinner,Weekend dinner,At a party,Late night snack $2  Home Alone Coca-cola Parents,Siblings,Teachers A little (mild)",Pizza
"3 5 Week day lunch,Weekend lunch,At a party,Late night snack 5 dollars Five Nights at Freddy's soda Siblings,Friends,Teachers A little (mild)",Pizza
"2 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 15$ per pizza No movie A can of soda Parents,Siblings,Friends,Teachers A moderate amount (medium)",Pizza
"3 7 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 15 Home Alone Coke Parents,Siblings,Friends,Strangers nan",Pizza
"2 5 Week day lunch,At a party 10 cad Spider-Man 2 Coke Friends A little (mild)",Pizza
"3 9 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $5  Teenage Mutant Ninja Turtles Diet Coke Siblings,Friends A moderate amount (medium)",Pizza
"3 7 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party 4 nan Nestea Friends nan",Pizza
"4 6 Week day dinner,Weekend dinner,At a party,Late night snack 10 Comedy Coke Friends,Teachers A little (mild)",Pizza
"3 10 Week day lunch,Weekend lunch 10 dollars iron man orange juice Friends A little (mild)",Pizza
"4 6 Week day dinner,Weekend lunch,Weekend dinner,At a party $20  Star Wars Coca cola Siblings,Friends A moderate amount (medium)",Pizza
"3 3 Week day lunch,At a party $3  Spider-Man Coke Friends nan",Pizza
"3 Around 6 ingredients in a basic cheese pizza recipe Weekend lunch,At a party Around $2-4 for a slice of pizza is reasonable. Any teenage mutant ninja turtle movie Soft cola or lemon drink Siblings,Friends I will have some of this food item with my hot sauce",Pizza
"3 10 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 5 The Dark Knight Diet Coke Friends nan",Pizza
"3 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 6 Home Alone 2: Lost in New York Coke Parents,Siblings nan",Pizza
"2 Flour, yeast, tomato sauce, cheese, pepperoni, (6-7?) Week day lunch,Weekend lunch,At a party,Late night snack $5  Pulp fiction Coke Friends nan",Pizza
"3 8 Week day dinner,Weekend dinner,At a party $6  Ninja Turtles Water Siblings,Friends nan",Pizza
"3 at least 3 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party 20 dollars fast and furious soda Parents,Siblings,Friends A little (mild)",Pizza
"2 5 Weekend lunch,Weekend dinner 10 Teenage Mutant Ninja Turtles Soda Friends A moderate amount (medium)",Pizza
"4 1. Dough

2. Sauce

3. Cheese

4. Your choice of protein

5. Vegetables (optional) Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $5  Spiderman 2 Coke Friends A little (mild)",Pizza
"2 10 Weekend dinner,At a party $2.50  Spider man   Coca cola  Friends,Teachers nan",Pizza
"3 3 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $20  Home Alone Coke Parents,Siblings,Friends,Teachers nan",Pizza
"2 This food item has a variable number of ingredients. It could contain as little as three but will often contain more and there is no upper limit. Week day lunch,Weekend dinner,At a party $3.50, but I'm not sure about this because people don't often buy only one serving I don't think of a movie when thinking of this food item Coke Friends,Teachers A little (mild)",Pizza
"3 4 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 15 Home Alone soda Friends,Strangers A moderate amount (medium)",Pizza
"3 Around 4-5, including dough, tomato sauce, cheese, olive oil, and optional basil At a party 3 dollars. ""The Truman Show"" sprite Friends nan",Pizza
"3 6 Week day dinner,Weekend dinner,At a party,Late night snack 5 dollars I think of home alone.  Dr. Pepper Friends,Teachers A moderate amount (medium)",Pizza
"3 4 or more Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $3.50  Breaking Bad Soda Friends,Teachers nan",Pizza
"3 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 17 Interstellar Coca Cola Friends A little (mild)",Pizza
"3 7 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $3.00  Rush Hour Pepsi Parents,Siblings nan",Pizza
"3 I would expect it to contain:

* Bread

* Cheese

* Tomato Sauce

* Possibly pepperoni

* Any other toppings Week day lunch,Weekend lunch,At a party,Late night snack For one decently sized serving I would expect to pay $10 at most. This is based on how much I usually have to pay. I think about movies like ""Holes"" or ""Shrek"", since it reminds me of the movies teachers would put on for us during school events. I would pair sweet soft drinks like Coke or Pepsi with it. This is because of how it was usually served to me at school events. Friends,Teachers nan",Pizza
"4 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 5 Scooby Doo Coke Siblings,Friends A little (mild)",Pizza
"2 8 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $5  Back to the Future 2 Diet coke Teachers nan",Pizza
"2 7 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $4  Ratatouille Coke Friends,Teachers,Strangers A little (mild)",Pizza
"3 7 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 22 CAD Princess Diaries (the apology scene) Diet Coke Parents,Friends,Teachers A little (mild)",Pizza
"3 At least 3 (flour, olive oil, seasonings etc.) Weekend lunch,Weekend dinner,At a party $2 to $5 WALL-E Water Friends A little (mild)",Pizza
"4 A minimum of 5-10 ingredients are required. Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 3-8 dollars for one portion. Home alone Soft drink Siblings,Friends,Teachers nan",Pizza
"2 8 Week day lunch,At a party 16 Ratatouille coke Strangers nan",Pizza
3 6 Week day dinner $25  Avengers Coke Friends nan,Pizza
"3 15 Weekend lunch,At a party 25 Teenage Mutant Ninja Turtles soda Friends,Teachers,Strangers nan",Pizza
"2 3 Week day lunch,Weekend lunch,At a party,Late night snack 3.5 Spiderman Soda Friends nan",Pizza
"3 I believe that it depends on what kind of pizza we are talking about but just talking about most conventional and simple pizza, I would say 3 - dough, cheese, and sauce.  Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack Again it depends a lot on the kind and size of pizza but talking about the most basic pizza, probably $25 !? I think about a nice chill movie with Pizza maybe something like Hangover.  The only drink I ever have with pizza is coke i.e, Cola.  Friends A moderate amount (medium)",Pizza
"3 Around 7-10 Weekend lunch,At a party $15-$25 Teenage Mutant Ninja Turtles Coke, iced tea. Parents,Siblings,Friends A little (mild)",Pizza
"2 3 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $3  Ninja Turtles Coke Zero Friends nan",Pizza
"4 8 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 5 spiderman coke Friends A little (mild)",Pizza
"2 4-7 Week day dinner,Weekend dinner,At a party,Late night snack $5  Ratatouille wine Friends nan",Pizza
"2 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 12 dollars Spiderman Pop Friends,Strangers A lot (hot)",Pizza
"4 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $7  Teenage Mutant Ninja Turtles Coke Parents,Friends,Teachers nan",Pizza
"4 6 Week day dinner,Weekend lunch,Weekend dinner,At a party $5  Deadpool Diet coke Parents,Siblings,Friends,Teachers nan",Pizza
"2 4 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 5 Home Alone Coke Friends,Teachers,Strangers nan",Pizza
"2 4 Week day lunch,Weekend lunch,At a party,Late night snack $3  Spider man Coca Cola Friends nan",Pizza
"3 Minimum 3 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack Between $4 and $7 Spy Kids 3D Pepsi Friends nan",Pizza
"3 cheese, wheat flour, some types of meat, herbs, some type of sauces. Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $4  Squid game soft drink Siblings,Friends,Teachers,Strangers nan",Pizza
"3 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 3.5 running man  Coca Cola  Teachers nan",Pizza
"3 6 Week day lunch,Week day dinner,At a party,Late night snack $5  Ratatouille Soda Parents,Siblings,Friends,Teachers nan",Pizza
"2 4 Week day dinner,Weekend dinner,At a party,Late night snack 20 CAD The Godfather Coke Siblings nan",Pizza
"4 7 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 14 Recep Ivedik 2 Coke Siblings,Friends A little (mild)",Pizza
"3 6 Week day lunch,Weekend dinner,At a party,Late night snack $5  Venom Coke Siblings,Friends nan",Pizza
"4 Many Ingredients. For each of Dough, Sauce, Toppings, there are many ingredients required. If I had to estimate, I would say around 5 for dough, 8 for sauce, and just 2 for toppings. Altogether, that would be around 15 ingredients total. Week day dinner,At a party,Late night snack Usually this food item comes in large quantities. Assuming that a quarter of this item is one serving, then with a full item being about $15, I would say that I would expect to pay $3.75 for one serving.  I usually associate this item with the winter because school parties would frequently order this food item. Hence, I would say The Polar Express, Elf, and Home Alone. I would pair some type of soda with this food item — something like a sprite or a coca-cola.  Friends,Teachers,Strangers A moderate amount (medium)",Pizza
"2 4 Weekend dinner,At a party,Late night snack 5 Moneyball Soda Friends A little (mild)",Pizza
"3 Typically, the simplest pizza would contain dough, water, yeast, salt, sugar, tomato sauce, and then cheese - around 7 ingredients. Sometimes, we might like to make more complex pizzas with different flavours, like adding more types of cheeses, or adding various toppings like veggies and meats, which would bump up the ingredient count.  Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack For one slice of pizza, I would expect about a dollar or two. But for full pizzas, the cost could range anywhere from $12 for a small to $20 for a large. And as always, depending on where you get your pizza (somewhere simple and cheap, or somewhere fancy), these prices might change.  Home Alone! When the delivery guy delivers a cheese pizza ""Little Nero's Pizza"" through the back door for Kevin, when he gets stuck home alone!  I love Kombucha, so maybe a mango or citrusy kombucha. Something carbonated! Parents,Siblings,Friends,Teachers A little (mild)",Pizza
"2 3 Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $2.50  Inside Out, Teenage Mutant Ninja Turtles Soda Parents,Siblings,Friends,Teachers nan",Pizza
"3 6 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party 20 Ratatouille soft drink Parents,Friends nan",Pizza
"3 About 5

 

Minimum 3 for dough, tomato sauce, and cheese, to at most 7 for toppings. Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $5

 

$15 for whole piazza) Avengers 1 Coke Friends nan",Pizza
"3 7 Weekend lunch,Weekend dinner,At a party,Late night snack 7$ hangover, or any teen party movies which features a lot of sweet stuff. carbonated sweet drinks, such as cocacola, pepsi, etc Friends nan",Pizza
"3 4 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 10 Home Alone Coca-Cola Parents,Friends nan",Pizza
"4 6 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $4  Coraline Nestea Parents,Friends,Teachers,Strangers A little (mild)",Pizza
"2 5 Week day dinner,At a party,Late night snack 4 nan Diet Coke Friends A moderate amount (medium)",Pizza
"3 5 Week day lunch,Week day dinner,At a party $6  Life if Pi Soda Parents,Siblings,Friends,Teachers A little (mild)",Pizza
"3 6 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party $4.00  Home Alone Pop Friends nan",Pizza
"3 4-8 Week day lunch,Weekend lunch,At a party,Late night snack $4-5 Home Alone Soda Friends A little (mild)",Pizza
"2 6 Week day lunch,Late night snack 15 dollars James Bond 007 Coke Friends A little (mild)",Pizza
"1 3 Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 20 Sam Raimi's Spider Man Chocolate Milk Friends A lot (hot)",Pizza
"4 I would expect four to ten. Week day lunch,Weekend lunch,At a party For a single slice, I would pay $5.  Cloudy with a Chance of Meatballs Pepsi (or any soda) Friends A moderate amount (medium)",Pizza
"3 7: flour, salt, yeast, water, oil, sauce, cheese Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $15 (one whole pizza)

  the goofy movie pop Parents,Siblings,Friends nan",Pizza
"3 4 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party 5 Teenage Mutant Ninja Turtles Soda Friends,Strangers nan",Pizza
"3 6 Week day lunch,Weekend lunch,At a party $10  Teenage Mutant Ninja Turtles Ginger ale Siblings,Friends nan",Pizza
"4 8 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 18 Cloudy With a Chance of Meatballs Canada Dry Ginger Ale Friends nan",Pizza
"2 5 Week day lunch,At a party 6 A Quiet Place 2 coke Friends A moderate amount (medium)",Pizza
"2 3 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $4  Home alone Milk Parents,Siblings,Friends,Teachers,Strangers A little (mild)",Pizza
"1 4 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party $2.29  Carry-On Sprite Parents,Siblings,Friends,Teachers nan",Pizza
"3 6 Week day dinner,At a party 8$ spiderman diet coke Parents,Friends A moderate amount (medium)",Pizza
"2 5 Week day lunch,Weekend lunch,Weekend dinner,At a party,Late night snack 5 Teenage Mutant Ninja Turtles coke Parents,Friends nan",Pizza
"4 8 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 6 Home Alone Coke Parents,Siblings,Friends nan",Pizza
"2 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party 4 Set it up coke Friends,Strangers A moderate amount (medium)",Pizza
"3 5 Week day dinner,Weekend dinner 15 Green Book coke Friends nan",Pizza
